case_id,domain,translator,source_lang,target_lang,source_text,reference_translation,translated_text,bleu,semantic_similarity,tone_score,error_category,pass_fail
1,restaurant,GoogleTranslateUI,arabic,english,أريد حجز طاولة لشخصين الساعة الثامنة مساءً.,I would like to reserve a table for two at 8 pm.,I want to reserve a table for two at 8pm.,0.5408804419255526,0.9847554564476013,1.0,no_major_error,pass
2,restaurant,GoogleTranslateUI,arabic,english,هل يمكنني رؤية قائمة الطعام من فضلك؟,"May I see the menu, please?",Can I see the menu please?,0.25119835939119545,0.9649112224578857,1.0,other,fail
3,restaurant,GoogleTranslateUI,arabic,english,أعاني من حساسية تجاه المكسرات، هل يوجد طبق خالٍ منها؟,I am allergic to nuts; is there a dish without them?,"I have an allergy to nuts, is there a dish that is free of them?",0.1892240568795935,0.9379111528396606,1.0,other,fail
4,restaurant,GoogleTranslateUI,arabic,english,نود تقسيم الفاتورة بالتساوي بيننا.,We would like to split the bill evenly between us.,We would like to split the bill equally between us.,0.7071067811865475,0.9576413035392761,1.0,no_major_error,pass
5,academic,GoogleTranslateUI,arabic,english,تشير هذه الدراسة إلى أن استخدام النماذج اللغوية يحسن جودة الترجمة الآلية.,This study indicates that using language models improves the quality of machine translation.,This study indicates that the use of linguistic models improves the quality of machine translation.,0.5702822264405542,0.9861884713172913,1.0,no_major_error,pass
6,academic,GoogleTranslateUI,arabic,english,تؤكد النتائج أهمية جمع بيانات متنوعة لتدريب الأنظمة الذكية.,The results emphasize the importance of collecting diverse data to train intelligent systems.,The results confirm the importance of collecting diverse data to train intelligent systems.,0.7910665071754358,0.9639876484870911,1.0,no_major_error,pass
7,academic,GoogleTranslateUI,arabic,english,يهدف هذا البحث إلى تحليل تأثير الخوارزميات الحديثة على دقة التنبؤ.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,This research aims to analyze the impact of modern algorithms on prediction accuracy.,1.0,1.0000001192092896,1.0,no_major_error,pass
8,academic,GoogleTranslateUI,arabic,english,تتطلب المنهجية المقترحة موارد حوسبة عالية لكنها توفر نتائج أكثر استقراراً.,The proposed methodology requires high computing resources but provides more stable results.,The proposed methodology requires high computing resources but provides more stable results.,1.0,1.0,1.0,no_major_error,pass
9,poetry,GoogleTranslateUI,arabic,english,يا ليلُ الصبُّ متى غده؟ أقيامُ الساعةِ موعدُه؟,"O night of the longing lover, when will his dawn come? Is the Day of Judgment his appointed time?","O dark night, when will tomorrow come?",0.0175486714408302,0.6868371963500977,1.0,lost_cultural_meaning,fail
10,poetry,GoogleTranslateUI,arabic,english,أحنّ إلى خبز أمي وقهوة أمي ولمسة أمي.,"I long for my mother's bread, my mother's coffee, and my mother's touch.","I long for my mother's bread, my mother's coffee, and my mother's touch.",1.0,0.9999999403953552,1.0,no_major_error,pass
